<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.17	188.17	189.57	174.51	177.41	136944	0	5
2025.02.18	177.42	179.03	160.57	169.14	119386	0	4
2025.02.19	169.17	174.12	163.54	168.80	118189	0	11
2025.02.20	168.80	176.49	167.48	175.85	90887	0	11
2025.02.21	175.85	180.41	167.05	168.78	117106	0	11
2025.02.22	168.78	174.59	167.92	171.93	53433	0	11
2025.02.23	171.93	172.92	166.27	167.79	42791	0	11
2025.02.24	167.79	169.51	137.22	141.67	175534	0	11
2025.02.25	141.67	146.94	131.74	144.19	307775	0	11
2025.02.26	144.19	145.10	130.48	135.22	168840	0	11
2025.02.27	135.22	142.74	134.58	137.55	143442	0	11
2025.02.28	137.55	148.26	125.47	147.81	178321	0	11
2025.03.01	147.82	150.48	138.12	143.30	58433	0	39
2025.03.02	143.30	178.71	139.59	178.30	77583	0	39
2025.03.03	178.31	179.00	138.96	141.55	163169	0	43
2025.03.04	141.55	146.69	130.49	144.61	101510	0	17
2025.03.05	144.59	149.55	140.03	146.06	66740	0	17
2025.03.06	146.08	152.73	142.25	143.12	69315	0	17
2025.03.07	143.14	150.77	134.91	139.20	86153	0	17
2025.03.08	139.19	140.89	135.11	136.72	35862	0	16
2025.03.09	136.82	139.69	125.65	126.80	51053	0	16
2025.03.10	126.80	131.36	115.39	118.86	83134	0	16
2025.03.11	118.88	128.27	111.94	126.06	73570	0	16
2025.03.12	126.04	131.13	121.10	126.41	58249	0	16
2025.03.13	126.42	128.56	120.69	123.68	44178	0	16
2025.03.14	123.66	135.95	122.84	135.27	36168	0	16
2025.03.15	135.28	136.37	132.27	135.49	19930	0	16
2025.03.16	135.48	136.59	125.50	125.61	31505	0	16
2025.03.17	125.58	130.47	125.04	128.79	31321	0	16
2025.03.18	128.79	128.79	121.63	124.86	28070	0	16
2025.03.19	124.87	134.68	124.09	134.51	36922	0	16
2025.03.20	134.53	135.99	126.51	127.28	28564	0	16
2025.03.21	127.26	130.02	124.68	127.87	23065	0	16
2025.03.22	127.84	131.67	127.65	128.58	12932	0	16
2025.03.23	128.60	133.89	127.96	131.26	14434	0	16
2025.03.24	131.27	144.79	131.17	140.22	35406	0	16
2025.03.25	140.25	147.32	138.01	143.25	33290	0	17
2025.03.26	143.26	145.30	136.05	136.65	29112	0	17
2025.03.27	136.66	140.04	135.48	138.71	27583	0	16
2025.03.28	138.73	138.92	127.54	129.69	32345	0	16
2025.03.29	129.66	130.34	122.47	123.21	26467	0	16
2025.03.30	123.18	126.92	122.82	124.59	19564	0	16
2025.03.31	124.56	127.68	122.51	125.58	38896	0	11
2025.04.01	125.57	130.29	123.61	126.16	30138	0	16
2025.04.02	126.17	135.98	118.05	118.52	44892	0	11
2025.04.03	118.50	120.77	112.10	116.81	46890	0	16
2025.04.04	116.80	123.86	113.18	123.18	45654	0	16
2025.04.05	123.17	123.24	117.03	119.08	16969	0	16
2025.04.06	119.09	120.99	105.39	105.88	41587	0	14
2025.04.07	105.85	112.83	95.19	108.43	85528	0	14
2025.04.08	108.41	112.42	102.91	105.34	56439	0	14
